name,s_price,o_price,rating,rating_count
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490",,,"69,833 Ratings & 6,204 Reviews"
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹8,999",,,"8,263 Ratings & 1,239 Reviews"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹13,990",,,"48,103 Ratings & 4,310 Reviews"
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹24,999",,,"1,33,340 Ratings & 12,300 Reviews"
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹15,999",,,"1,33,340 Ratings & 12,300 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹31,990",,,"14,075 Ratings & 1,510 Reviews"
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"1,200 Ratings & 139 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹11,499",,,"33,625 Ratings & 2,946 Reviews"
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹24,999",,,"3,23,119 Ratings & 30,714 Reviews"
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,"₹21,999",,,"1,33,340 Ratings & 12,300 Reviews"
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹30,990",,,"11,168 Ratings & 1,136 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹21,999",,,"3,23,119 Ratings & 30,714 Reviews"
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹24,999",,,"24,291 Ratings & 3,809 Reviews"
Cellecor 80 cm (32 inch) HD Ready LED TV,"₹8,399",,,
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499",,,51 Ratings & 7 Reviews
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹8,499",,,"6,155 Ratings & 1,112 Reviews"
Vu Premium TV 80 cm (32 inch) HD Ready LED Smart Linux TV with Bezel-Less Frame,"₹10,499",,,"7,275 Ratings & 802 Reviews"
,,,,
,,,,
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"₹34,999",,,"3,128 Ratings & 296 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹13,490",,,"69,833 Ratings & 6,204 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
realme 108 cm (43 inch) Full HD LED Smart Android TV,"₹22,499",,,"2,33,152 Ratings & 26,505 Reviews"
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹21,999",,,"37,243 Ratings & 3,271 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹27,499",,,"31,781 Ratings & 3,631 Reviews"
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹42,999",,,"13,341 Ratings & 1,403 Reviews"
Vu GloLED 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹38,999",,,"4,463 Ratings & 746 Reviews"
Thomson 9R PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹19,999",,,"13,915 Ratings & 3,261 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Atmos,"₹31,999",,,"48,601 Ratings & 4,447 Reviews"
MOTOROLA Revou 2 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by boAt and Dolby Visi...,"₹21,999",,,"1,568 Ratings & 229 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
iFFALCON by TCL K61 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,499",,,"23,376 Ratings & 3,171 Reviews"
iFFALCON by TCL F53 79.97 cm (32 inch) HD Ready LED Smart Android TV with Android 11,"₹9,999",,,848 Ratings & 106 Reviews
MarQ by Flipkart Innoview 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,999",,,"5,680 Ratings & 1,043 Reviews"
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹47,990",,,"14,075 Ratings & 1,510 Reviews"
Cellecor 80 cm (32 inch) HD Ready LED TV,"₹8,399",,,
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,14 Ratings & 0 Reviews
,,,,
,,,,
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499",,,"36,023 Ratings & 7,918 Reviews"
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹8,999",,,"8,600 Ratings & 1,038 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹61,999",,,"13,341 Ratings & 1,403 Reviews"
Blaupunkt Cybersound 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹26,999",,,"4,535 Ratings & 1,161 Reviews"
TOSHIBA V35KP 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X (2022 Model),"₹11,490",,,"1,089 Ratings & 218 Reviews"
iFFALCON by TCL H72 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Hands Free Voice Control & Wo...,"₹36,999",,,296 Ratings & 51 Reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649",,,"12,973 Ratings & 1,852 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,399",,,"12,973 Ratings & 1,852 Reviews"
Hisense A6GE Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and Dolby At...,"₹24,990",,,"1,436 Ratings & 217 Reviews"
Vu GloLED 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹54,999",,,"4,463 Ratings & 746 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,499",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
realme 80 cm (32 inch) Full HD LED Smart Android TV,"₹16,499",,,"9,323 Ratings & 1,251 Reviews"
SONY Bravia 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV,"₹52,999",,,"2,417 Ratings & 486 Reviews"
Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹7,499",,,"57,955 Ratings & 8,316 Reviews"
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,"₹19,999",,,"3,23,119 Ratings & 30,714 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹10,999",,,
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Search,"₹15,990",,,"8,483 Ratings & 905 Reviews"
